식당ID,식당명,영업시간,주소,전화번호,종류
30,미락식당,오전 11:00~오후 9:00,충청북도 충주시 충인동 175,043-848-5565,한식
31,나도야식당,오전 10:00~오후 10:00,충청북도 충주시 연수동 1226,043-848-2892,한식
32,정운식당,정보 없음,충청북도 충주시 교현동 606-9,043-843-3637,한식
33,소담뜰한식뷔페,정보 없음,충청북도 충주시 교현동 618-7,043-857-1900,한식
34,보연식당,정보 없음,충청북도 충주시 성서동 3,043-844-7156,한식
35,풍미식당,오전 11:00~오후 8:00,충청북도 충주시 교현동 642-6,043-847-0937,한식
36,자연가든,오전 9:00~오후 9:00,충청북도 충주시 살미면 세성리 426-8,043-851-8431,한식
37,충주스파식당,정보 없음,문화동 971번지 충주시 충청북도 KR,정보 없음,한식
38,향정식당,오전 11:00~오후 8:30,충청북도 충주시 봉방동 78-5,043-844-1475,한식
39,대진식당,오전 11:00~오후 9:00,충청북도 충주시 봉방동 194-6,043-844-8711,한식
40,향나무집 식당,오전 8:00~오후 9:00,충청북도 충주시 수안보면 온천리 241-5,043-846-2813,한식
41,금강식당,오전 11:00~오후 8:00,충청북도 충주시 금가면 사암리 62-2,043-853-0555,한식
42,어촌한식,정보 없음,충청북도 충주시 봉방동 10-42,043-847-5947,한식
43,천용맛집,오전 7:00~오후 8:00,충청북도 충주시 금릉동 822,043-856-2490,한식
44,오남매식당,정보 없음,충청북도 충주시 교현동 599-14,043-852-0755,한식
45,서울식당,정보 없음,충청북도 충주시 용산동 457,043-842-9533,한식
46,국민밥상,정보 없음,충청북도 충주시 연수동 번지 1층 184-2 KR,043-846-7000,한식
47,한국 식당,오전 11:00~오후 9:00,충청북도 충주시 수안보면 온천리,043-848-3921,한식
48,정다운식당,정보 없음,충청북도 충주시 교현동 518,043-845-4314,한식
49,성무식당,정보 없음,충청북도 충주시 봉방동 406-1,043-844-3331,한식
50,토담버섯마을,정보 없음,충청북도 충주시 교현동 395,043-851-0061,한식
51,솔지식당,오후 4:00~11:00,충청북도 충주시 연수동 681-7,043-852-1598,한식
52,항아리본가,오전 11:00~오후 9:00,충청북도 충주시 문화동 125,043-854-7080,한식
53,대복식당,오전 9:00~오후 10:00,충청북도 충주시 충인동 237,043-847-1637,한식
54,태운식당,정보 없음,충청북도 충주시 봉방동 131-15,043-842-1279,한식
55,덕성식당,정보 없음,충청북도 충주시 성내동 68,043-842-8242,한식
56,북충주한식뷔페,오전 11:00~오후 9:30,충청북도 충주시 가금면 탑평리,043-852-3334,한식
57,아주식당,오전 10:00~오후 8:30,충청북도 충주시 성서동 306,043-847-2998,한식
58,큰언니네식당,정보 없음,충청북도 충주시 교현동 597-24,043-843-3135,한식
59,번창식당,오전 3:00~오후 3:00,충청북도 충주시 산척면 송강리 1255-1 KR725,043-854-9181,한식
60,나성식당,정보 없음,충청북도 충주시 문화동 165,043-857-3755,한식
61,길식당,정보 없음,충청북도 충주시 문화동 815,043-843-8624,한식
62,영화식당,휴무일,충청북도 충주시 수안보면 온천리 282-2,043-846-4500,한식
63,유천식당,정보 없음,충청북도 충주시 금릉동 743,043-848-0112,한식
64,대운식당,정보 없음,충청북도 충주시 산척면 송강리 1574-1,043-853-5122,한식
65,경포대식당,오전 11:30~오후 9:00,충청북도 충주시 문화동 1902,043-851-5031,한식
66,옛터,정보 없음,충청북도 충주시 성내동 530,043-855-1835,한식
67,삼덕식당,정보 없음,충청북도 충주시 교현동 876,043-843-1238,한식
68,관아골어머니밥상,정보 없음,충청북도 충주시 성내동 464,043-842-0337,한식
69,금바위골,정보 없음,충청북도 충주시 금릉동 879-1 KR,043-853-5785,한식
70,신두꺼비식당,오전 11:00~오후 9:00,충청북도 충주시 연수동 1258,043-845-8847,한식
71,우리밥상,오전 6:00~오후 8:00,충청북도 충주시 용탄동 237-1,043-853-5295,한식
72,세종한식뷔페,오전 11:00~오후 9:00,충청북도 충주시 대소원면 영평리 70-8 대소원면 영평리 70-8번지 충주시 충청북도 KR 27461,043-853-5009,한식
73,월악산회관,오전 10:00~오후 10:00,충청북도 충주시 교현동 582-1,043-848-1800,한식
74,나들목식당한식매운탕,정보 없음,충청북도 충주시 교현동 143-28,043-857-6912,한식
75,도담식당,오전 9:00~오후 9:00,충청북도 충주시 산척면 송강리 1253-21,043-853-7050,한식
76,청풍식당,오전 10:00~오후 9:00,충청북도 충주시 풍동 766-22,043-851-5469,한식
77,군청식당,정보 없음,충청북도 충주시 연수동 847,043-844-9935,한식
78,만석골 한식뷔페,오전 6:00~오후 1:30,충청북도 충주시 대소원면 첨단산업8로 4-24 KR,043-855-7277,한식
79,충주댐가든,24시간 영업,충청북도 충주시 종민동 1068-22,정보 없음,한식
80,해민식당,정보 없음,충청북도 충주시 충의동 135,043-852-4041,한식
81,일성한식부페,오전 11:00~오후 8:00,충북 충주시 대소원면 본리 972,043-843-2888,한식
82,수억식당,정보 없음,충청북도 충주시 교현동 248-29,043-842-0122,한식
83,불개미식당,정보 없음,충청북도 충주시 목행동 526-29,043-853-7517,한식
84,만나밥집,오전 11:00~오후 8:30,충청북도 충주시 연수동 1414,043-852-9590,한식
85,예담,정보 없음,충청북도 충주시 교현동 976,043-852-1753,한식
86,삼미파전,정보 없음,충청북도 충주시 연수동 896,043-844-1260,한식
87,성원밥집,오전 11:00~오후 8:00,충청북도 충주시 봉방동 895,043-844-4964,한식
88,소담뜰,"오전 6:00~오후 2:00, 오후 5:00~7:00",충청북도 충주시 동량면 김생로 63 KR,043-844-7997,한식
89,청미식당,오전 11:00~오후 8:00,충청북도 충주시 연수동 1184,043-844-7221,한식
90,동호식당,정보 없음,충청북도 충주시 문화동 891,043-844-3472,한식
91,공원식당,정보 없음,충청북도 충주시 성내동 483,043-847-9858,한식
92,해성정식당,오전 11:00~오후 9:00,충청북도 충주시 수안보면 온천리 289-3,043-846-0495,한식
93,한정식바우,정보 없음,충청북도 충주시 주덕읍 신중리 43-20,043-851-7171,한식
94,홍가,정보 없음,충청북도 충주시 성서동 522,043-847-1106,한식
95,한우정,정보 없음,충청북도 충주시 칠금동 607,043-848-3500,한식
96,대봉식당,오전 11:00~오후 9:00,충청북도 충주시 수안보면 온천리 211-1,043-846-3404,한식
97,연다라식당,정보 없음,충청북도 충주시 연수동 616,043-855-8879,한식
98,큰곰식당,오전 10:00~오후 9:00,충청북도 충주시 수안보면 온천리 239-21,043-848-1749,한식
99,합동식당,정보 없음,충청북도 충주시 교현동 366-1,043-847-2388,한식
100,일조원,오전 11:00~오후 9:00,충청북도 충주시 교현동 655-1,043-855-2288,중식
101,동원반점,오전 11:00~오후 9:00,충청북도 충주시 지현동 777,043-845-1248,중식
102,야상회,오후 12:00~9:00,충청북도 충주시 호암동 652-5,043-851-1788,중식
103,양자강,오전 11:00~오후 9:00,충청북도 충주시 용산동 941,043-842-7799,중식
104,옥반점,오전 11:00~오후 8:00,충청북도 충주시 연수동 1228,043-854-2662,중식
105,청인,오전 11:00~오후 8:00,충청북도 충주시 교현동 413-1,043-843-8558,중식
106,자수성,오전 11:00~오후 8:30,충청북도 충주시 용산동 1033,043-848-0089,중식
107,원금용,오전 11:00~오후 9:00,충청북도 충주시 성내.충인동 성서7길 11,043-844-4148,중식
108,열라짬뽕,오전 10:00~오후 8:00,충청북도 충주시 봉방동 104,043-854-2727,중식
109,차이나 퓨전 중화요리,오전 10:00~오후 9:00,충청북도 충주시 문화동 사직로 156,043-844-2926,중식
110,대흥반점,오전 11:00~오후 9:00,충청북도 충주시 문화동 718,043-844-8186,중식
111,슈슈,오전 11:30~오후 10:00,충청북도 충주시 연수동 동수2길 43,050-71448-8836,중식
112,용궁반점,오전 11:00~오후 9:00,충청북도 충주시 용산동 1148,043-844-4344,중식
113,상촌식당,오전 11:30~오후 3:00,충청북도 충주시 수안보면 중산리 268-6,043-848-3492,중식
114,협성원,오전 11:00~오후 9:00,충청북도 충주시 안림동 1113-1,043-847-5200,중식
115,열빈대반점,오전 11:00~오후 9:00,충청북도 충주시 연수동 1146,043-842-6501,중식
116,려산,오전 11:00~오후 8:30,충청북도 충주시 연수동 1470-1,043-856-6325,중식
117,띵호와짜장,오전 11:00~오후 8:30,충청북도 충주시 봉방동 34-38,043-854-6755,중식
118,정미관,오전 11:00~오후 8:00,충청북도 충주시 갱고개로 190,043-846-1931,중식
119,백리향,정보 없음,충청북도 충주시 금릉동 711,043-847-8091,중식
120,신동양,오전 11:00~오후 8:00,충청북도 충주시 교현동 1080,043-842-8988,중식
121,루,오전 11:00~오후 9:00,충청북도 충주시 칠금동 657,043-848-8515,중식
122,민중관,오전 11:00~오후 8:00,충청북도 충주시 연수동 969,043-844-1522,중식
123,짜장면집,오전 10:00~오후 9:00,충청북도 충주시 연수동 700-8,043-848-0839,중식
124,평화루,오전 11:00~오후 8:30,충청북도 충주시 성내동 70,043-847-3248,중식
125,고향식당,정보 없음,충청북도 충주시 문화동 3022,043-843-8336,중식
126,신양자강,오전 9:00~오후 9:00,충청북도 충주시 교현.안림동 약막2길 5,043-848-6336,중식
127,쌍용반점,오전 10:00~오후 10:00,충청북도 충주시 충인동 78,043-847-3237,중식
128,동인성,오전 11:00~오후 8:30,충청북도 충주시 봉방동 268-6,043-842-0401,중식
129,홍창대반점,휴무일,충청북도 충주시 연수동 1248,043-852-5636,중식
130,탄금성,오전 11:00~오후 8:30,충청북도 충주시 칠금동 821,043-842-1996,중식
131,쉐프강의맛있는짜장,오전 10:30~오후 10:00,충청북도 충주시 칠금동 315-1,043-845-0855,중식
132,요리왕,오전 11:00~오후 8:30,충청북도 충주시 연수동 1250,043-842-8259,중식
133,고운밥상,오전 11:00~오후 9:00,충청북도 충주시 봉방동 268-6,043-847-7245,중식
134,진짜루,오전 11:00~오후 9:00,충청북도 충주시 대소원면 만정리 192-8번지 KR,043-851-8899,중식
135,대춘,오전 11:00~오후 8:00,충청북도 충주시 대소원면 대소리 157-4,043-852-9339,중식
136,제갈가,정보 없음,충청북도 충주시 금제1길 29 1층,정보 없음,중식
137,하오라이,오전 11:00~오후 9:30,충청북도 충주시 가금면 원앙길 15 2층,050-71395-1106,중식
138,중화반점,오전 11:00~오후 9:00,충청북도 충주시 문화동 879,043-842-7966,중식
139,홍화루,오전 11:00~오후 8:30,충청북도 충주시 칠금동 1025,043-847-0075,중식
140,용궁,오전 11:00~오후 8:00,충청북도 충주시 동량면 조동리 1287-6,043-851-3513,중식
141,화룡각,오전 11:00~오후 8:30,충청북도 충주시 목행동 599-16,043-846-1200,중식
142,삼국지,정보 없음,충청북도 충주시 봉방동 340-8,043-855-7755,중식
143,기똥찬중화반점,정보 없음,충청북도 충주시 목행산단5로 97,정보 없음,중식
144,사천대반점,오전 11:00~오후 10:00,충청북도 충주시 연수동 544-6,043-847-7149,중식
145,대려성,오전 11:00~오후 9:00,성내동 70번지 충주시 충청북도 KR,043-847-3248,중식
146,왕희각,오전 11:00~오후 9:00,충청북도 충주시 성남동 231번지 KR 왕희각,정보 없음,중식
147,선가짬뽕,오전 11:00~오후 8:00,목벌동 568-14번지 충주시 충청북도 KR,070-7720-6667,중식
148,연짬뽕,정보 없음,충청북도 충주시 교현동 496-14,043-848-3653,중식
149,뽕식이네짬봉,오전 11:00~오후 8:30,충청북도 충주시 목행동 604-9,043-846-4420,중식
150,더봉춘,오전 11:00~오후 9:00,충청북도 충주시 수안보면 수회리 73-1번지 1층,043-842-2004,중식
151,아서원,오전 11:00~오후 9:00,충청북도 충주시 성내동,043-847-3639,중식
152,덕승루,정보 없음,충청북도 충주시 충인동,043-847-3239,중식
153,시내짬뽕,오전 11:30~오후 8:00,충청북도 충주시 목행동 663-11,043-856-2666,중식
154,배쉐프의중화야식,오전 11:00~오후 9:00,충청북도 충주시 목행동 666-13 KR,043-852-9692,중식
155,거륭관,정보 없음,충북 충주시 대소원면 본리 1102-2,043-855-6100,중식
156,하우칭손자장,오전 11:00~오후 9:00,충청북도 충주시 교현동 257-5,043-856-2226,중식
157,가문,오전 11:30~오후 8:00,충청북도 충주시 칠금동 722,043-857-7008,중식
158,짬뽕가게,오전 11:00~오후 8:00,충청북도 충주시 칠금동 1025 KR,043-854-0075,중식
159,황룡각,오전 11:00~오후 9:00,충청북도 충주시 교현동 1137 교현동 1137번지 충주시 충청북도 KR 27357,043-856-0569,중식
160,미스터뽕,오전 10:00~오후 9:00,충청북도 충주시 용산동 339,043-854-5945,중식
161,만당홍,오전 11:30~오후 8:00,충청북도 충주시 교현동 137-5,043-856-9285,중식
162,차이나,정보 없음,문화동 2708번지 충주시 충청북도 KR,043-844-2926,중식
163,천안문,오전 11:00~오후 8:30,충청북도 충주시 연수동 번지 B 547-6 KR동 103호,031-663-0447,중식
164,이비가짬뽕,오전 11:00~오후 9:00,충청북도 충주시 금봉대로 448,043-856-3446,중식
165,진보구룡,오전 11:00~오후 8:30,충청북도 충주시 칠금동 칠금중앙1길 19,정보 없음,중식
166,한울식당,오전 11:00~오후 9:00,충청북도 충주시 연수동 850,043-855-9994,중식
167,중앙관,오전 11:30~오후 9:00,충청북도 충주시 노은면 연하중앙길 24-1,043-853-3903,중식
168,관현각달천점,오전 10:30~오후 8:30,충청북도 충주시 용두동 168-2,043-856-5400,중식
169,동보성,정보 없음,충청북도 충주시 목행동 597-4,043-853-3668,중식
170,선해도,정보 없음,충청북도 충주시 금릉동 871,043-852-0901,중식
171,아리산,오전 11:00~오후 9:00,충청북도 충주시 호암동 558-22,043-844-6888,중식
172,탄금반점,오전 11:00~오후 9:00,충청북도 충주시 칠금동 394-1,050-71389-8855,중식
173,신짬뽕나라,오전 11:00~오후 9:00,충청북도 충주시 용산동,043-848-1119,중식
174,장연식당,정보 없음,충청북도 충주시 봉방동 210-5,043-847-4255,중식
175,탄금대짬뽕,오전 11:00~오후 9:00,충청북도 충주시 칠금동 390번지 KR,정보 없음,중식
176,다래관,오전 11:30~오후 8:00,충청북도 충주시 목행동 676-65,043-851-5527,중식
177,광해루,오전 11:00~오후 8:30,충청북도 충주시 산척면 송강리 1496-14,043-853-1277,중식
178,옥희반점,오전 11:00~오후 9:00,충청북도 충주시 동량면 대전리 1662-9,043-853-7066,중식
179,풍경소리,정보 없음,충청북도 충주시 교현동 580-4,043-844-5466,중식
180,중국성,오전 11:00~오후 8:30,충청북도 충주시 산척면 영덕리,043-845-8883,중식
181,향원반점,오전 11:00~오후 8:00,충청북도 충주시 엄정면 용산리 468-1,043-852-0507,중식
182,교동짬뽕,오전 11:00~오후 8:00,충청북도 충주시 연수동 1642,043-851-1333,중식
183,몽짬뽕,오전 9:00~오후 4:00,충청북도 충주시 용산동 용정7길 24,043-854-8375,중식
184,면타작,오전 10:00~오전 6:00,충청북도 충주시 호암동 652-3,043-855-8922,중식
185,풍년식당(손짜장),오전 11:00~오후 8:00,충청북도 충주시 동량면 조동리 1270-1,043-851-0181,중식
186,제일반점,정보 없음,충청북도 충주시 칠금동 922,043-844-1922,중식
187,청솔대반점,오전 11:00~오후 8:00,충청북도 충주시 문화동 953,043-843-6923,중식
188,행복관,오전 11:00~오후 8:30,충청북도 충주시 목행동 526-29,043-855-2633,중식
189,70년대손짜장,오전 11:00~오후 9:00,충청북도 충주시 지현동,043-848-6656,중식
190,금룡,오전 10:30~오후 8:00,충청북도 충주시 문화동 2502,043-852-3282,중식
191,충북식당,오전 11:00~오후 8:00,충청북도 충주시 봉방동 102-1,043-847-6520,중식
192,청마루,오전 11:00~오후 8:00,충청북도 충주시 칠금동 327-9,043-843-2777,중식
193,손짜장노은반점,오전 11:00~오후 7:00,충청북도 충주시 노은면 연하리 495,043-848-4889,중식
194,복산춘,오전 11:00~오후 8:00,충청북도 충주시 교현동 103-9,043-844-4860,중식
195,영광식당,오전 11:00~오후 8:30,충청북도 충주시 동량면 조동리 1271-12,043-851-2570,중식
196,부영각손짜장,오전 11:00~오후 8:00,충청북도 충주시 금릉동 824,043-846-3435,중식
197,장희각,정보 없음,충청북도 충주시 교현동 445-4,043-851-3500,중식
198,터미널짬뽕,오전 11:00~오후 8:30,충청북도 충주시 칠금동,043-854-3600,중식
199,자황,오전 11:30~오후 8:30,충청북도 충주시 교현동 봉현로 181-8,043-855-8666,중식
200,동경일식,정보 없음,충청북도 충주시 봉방동 171,043-851-6060,일식
201,스시마당,오전 11:30~오후 9:00,충청북도 충주시 단월동 483-4,043-852-9387,일식
202,어,정보 없음,충청북도 충주시 칠금동 615,043-842-6276,일식
203,선해도,정보 없음,충청북도 충주시 금릉동 871,043-852-0901,일식
204,口구,"오전 11:00~오후 2:00, 오후 5:00~9:00",충청북도 충주시 염밭로 88-1,043-910-7350,일식
205,홍참치일식,오전 11:30~오후 10:00,충청북도 충주시 연수동 835,043-842-1231,일식
206,류명품일식도시락,정보 없음,연수동 908번지 2층 충주시 충청북도 KR,정보 없음,일식
207,더어,오전 11:30~오후 9:00,충청북도 충주시 칠금동 615,043-843-6274,일식
208,용수정횟집,오전 11:30~오후 9:30,충청북도 충주시 연수동 826,043-848-7571,일식
209,스시팩토리,오전 11:30~오후 10:00,충청북도 충주시 연수동 1507,043-848-7783,일식
210,진우동돈까스,오전 11:30~오후 8:30,충청북도 충주시 봉방동 89-12,043-842-8422,일식
211,사시미가,오전 11:00~오후 9:00,충청북도 충주시 연수동 715-5,043-911-3412,일식
212,교엔더다이닝,오전 11:00~오후 9:30,충청북도 충주시 연수동 1316-1번지 연주빌 102호,070-8031-4038,일식
213,돈까스와사랑에빠지다,정보 없음,충청북도 충주시 연수동 1604-1번지 KR 1층 102호,043-853-4568,일식
214,풍경소리,정보 없음,충청북도 충주시 교현동 580-4,043-844-5466,일식
215,쿠스키친,정보 없음,충청북도 충주시 칠금동 칠금중앙4길 5,정보 없음,일식
216,킨쇼,오전 11:00~오후 9:00,연수동 1366-1번지 1층 102호 충주시 충청북도 KR,043-845-8096,일식
217,스시웨이충주점,오전 11:00~오후 9:00,충청북도 충주시 연수동 1647,043-845-3774,일식
218,돈키일본식돈까스전문점,정보 없음,충청북도 충주시 연수동 1262,043-848-7997,일식
219,참치연가,휴무일,충청북도 충주시 대소원면 본리 1121번지 102호,043-856-0100,일식
220,멘무샤,정보 없음,충청북도 충주시 연수동 1325번지 KR 209호,043-854-1199,일식
221,중원횟집,정보 없음,충청북도 충주시 연수동 1225-6,043-845-3009,일식
222,혼다라멘,"오전 11:00~오후 3:00, 오후 5:00~10:00",충청북도 충주시 금봉4길 13 3 블루빌,043-845-2887,일식
223,스시앤짬뽕,정보 없음,충청북도 충주시 안림동 1129-14번지 1층,정보 없음,일식
224,한울식당,오전 11:00~오후 9:00,충청북도 충주시 연수동 850,043-855-9994,일식
225,어식당,오전 11:00~오후 9:00,충청북도 충주시 호암동 127-3번지 KR,043-846-1016,일식
226,돈까스천국,정보 없음,충청북도 충주시 연수동 686,043-853-0808,일식
227,희망야식,정보 없음,충청북도 충주시 봉방동 235,043-844-4550,일식
228,참치해랑,정보 없음,충청북도 충주시 칠금동 997,043-846-3232,일식
229,올인돈까스칠금,정보 없음,충청북도 충주시 칠금동 930,043-855-9536,일식
230,13스시 서충주점,정보 없음,충청북도 충주시 대소원면 첨단산업9로 13,정보 없음,일식
231,후라토식당,정보 없음,충주시 호암동 1216 선우프라자 2층 201호,정보 없음,일식
232,조선초밥,오전 11:00~오후 9:00,충청북도 충주시 대소원면 만정리 196,정보 없음,일식
233,미가회초밥,정보 없음,충청북도 충주시 교현동 411-6,043-843-3053,일식
234,다누끼,휴무일,충청북도 충주시 칠금동 849,043-851-2747,일식
235,타베,정보 없음,연수동 1366-1번지 충주시 충청북도 KR,043-855-1852,일식
236,B620,오전 11:00~오후 8:00,충청북도 충주시 호암동 620-10,043-844-6201,일식
237,13스시,정보 없음,대소원면 완오리 1121번지 1층 충주시 충청북도 KR,070-9363-7919,일식
238,일조원,오전 11:00~오후 9:00,충청북도 충주시 교현동 655-1,043-855-2288,일식
239,피쉬마켓,오전 11:30~오후 8:30,충청북도 충주시 금릉동 45-8,043-843-0033,일식
240,민중관,오전 11:00~오후 8:00,충청북도 충주시 연수동 969,043-844-1522,일식
241,충주세꼬시,정보 없음,충청북도 충주시 성서동 347,043-844-8585,일식
242,남산회포차,정보 없음,충청북도 충주시 교현동 939,043-848-8388,일식
243,시마요리,정보 없음,충청북도 충주시 성남동 254,043-848-3867,일식
244,스시란,정보 없음,충청북도 충주시 연수동 동수2길 45,정보 없음,일식
245,태태야,정보 없음,KR 충북 충주시 금릉동 847,043-911-5978,일식
246,고소미부엌,오전 11:00~오후 8:00,KR 충북 충주시 연수동 1366-2,043-855-4151,일식
247,그물에걸린바다,오전 11:00~오후 9:00,충청북도 충주시 용산동 1586,043-844-8292,일식
248,권대식의참치회방꾼,정보 없음,칠금동 591번지 권대식의참치회방꾼 충주시 충청북도 KR,043-854-3737,일식
249,매일식당,오전 10:00~오후 9:00,충청북도 충주시 칠금동 668,043-845-8688,일식
250,참치본가,정보 없음,충청북도 충주시 칠금동 864,043-847-3789,일식
251,돈까스방,정보 없음,충주시,정보 없음,일식
252,야생초,오전 11:00~오후 9:00,충청북도 충주시 칠금동 348-1,043-852-0854,일식
253,이씨식당,오전 11:30~오후 9:00,충청북도 충주시 칠금동 능바우길 15,043-848-6066,일식
254,꽃스시,오전 11:45~오전 12:00,충청북도 충주시 연수동 710-3번지 1층 102호,010-5743-1234,일식
255,쿠우쿠우 충주점,오전 11:00~오후 10:00,충청북도 충주시 연수동 1332,정보 없음,일식
256,미락식당,오전 11:00~오후 9:00,충청북도 충주시 충인동 175,043-848-5565,일식
257,부리또인충주교통대점,정보 없음,충청북도 충주시 대소원면 만정리 193번지 KR 교통원룸 1층,043-484-6980,일식
258,일호식당,정보 없음,충청북도 충주시 성서동 306,043-847-9760,일식
259,외당,오전 11:30~오후 10:00,충청북도 충주시 지현동 842,043-848-1997,일식
260,5027돈까스,정보 없음,충청북도 충주시 산척면 천등박달로 131,정보 없음,일식
261,충주식당,오전 11:00~오후 9:00,충청북도 충주시 문화동 1247,043-847-1599,일식
262,어촌한식,정보 없음,충청북도 충주시 봉방동 10-42,043-847-5947,일식
263,공설식당,정보 없음,충청북도 충주시 교현동 766-2,043-842-2451,일식
264,두리가,정보 없음,충청북도 충주시 교현2동,043-845-3571,일식
265,구미식당,오전 11:00~오후 9:00,충청북도 충주시 봉방동 235-3,043-845-2307,일식
266,도니돼지,오전 11:30~오후 9:00,충청북도 충주시 호암동 546-3 KR,043-844-9896,일식
267,준경양카츠,오전 11:30~오후 8:30,충청북도 충주시 칠금동 1015,043-845-2349,일식
268,수일식당,정보 없음,충청북도 충주시 주덕읍 신양리 220-5,043-856-0230,일식
269,짬뽕생각용산점,오전 11:00~오후 9:00,충청북도 충주시 용산동 1985,043-848-1501,일식
270,신촌횟집,오전 11:00~오후 9:00,충청북도 충주시 삼원로 111,043-847-7230,일식
271,어가횟집,오전 11:00~오후 10:00,충청북도 충주시 연수동 1644,043-852-0800,일식
272,한반도횟집,정보 없음,충청북도 충주시 연수동 546-2,043-851-9696,일식
273,연짬뽕,정보 없음,충청북도 충주시 교현동 496-14,043-848-3653,일식
274,레스토랑비,정보 없음,충청북도 충주시 칠금동 509-77,043-845-8887,일식
275,황포돛대교현점,정보 없음,충청북도 충주시 교현동 222-13,043-852-2203,일식
276,난성식당,정보 없음,충청북도 충주시 교현동 1146번지 1층,043-852-5352,일식
277,교엔The다이닝,오전 11:30~오후 9:30,충청북도 충주시 연수동 금곡서1길 16,010-2659-8992,일식
278,어스푼,오전 11:00~오후 10:00,충청북도 충주시 교현2동,043-843-3003,일식
279,마라도횟집,정보 없음,충청북도 충주시 교현동 1114,043-854-5727,일식
280,즐거운심야식당,정보 없음,연수동 1604번지 충주시 충청북도 KR,정보 없음,일식
281,충북식당,오전 11:00~오후 8:00,충청북도 충주시 봉방동 102-1,043-847-6520,일식
282,무스땅,오전 11:00~오후 10:00,충청북도 충주시 연수동 연수동산로2길 20-11,043-855-7960,일식
283,향정식당,오전 11:00~오후 8:30,충청북도 충주시 봉방동 78-5,043-844-1475,일식
284,꼬마등,정보 없음,충청북도 충주시 성서동 474,043-847-1788,일식
285,문화당,오전 10:00~오후 10:00,충청북도 충주시 연수동 1320,043-845-6274,일식
286,선가짬뽕,오전 11:00~오후 8:00,목벌동 568-14번지 충주시 충청북도 KR,070-7720-6667,일식
287,충주시오야끼,정보 없음,충청북도 충주시 연수동,043-851-9436,일식
288,천안문,오전 11:00~오후 8:30,충청북도 충주시 연수동 번지 B 547-6 KR동 103호,031-663-0447,일식
289,마미식당,정보 없음,충청북도 충주시 성서동 482 성서동 482번지 충주시 충청북도 KR 27387,043-845-5256,일식
290,마미식당,정보 없음,충청북도 충주시 성서동 482 성서동 482번지 충주시 충청북도 KR 27387,043-845-5256,일식
291,마미식당,정보 없음,충청북도 충주시 성서동 482 성서동 482번지 충주시 충청북도 KR 27387,043-845-5256,일식
